id,year,field
OGLE-2011-BLG-0636,2011,blg
OGLE-2011-BLG-0638,2011,blg
OGLE-2011-BLG-0639,2011,blg
OGLE-2011-BLG-0640,2011,blg
OGLE-2011-BLG-0641,2011,blg
OGLE-2011-BLG-0642,2011,blg
OGLE-2011-BLG-0643,2011,blg
OGLE-2011-BLG-0644,2011,blg
OGLE-2011-BLG-0645,2011,blg
OGLE-2011-BLG-0646,2011,blg
OGLE-2011-BLG-0647,2011,blg
OGLE-2011-BLG-0648,2011,blg
OGLE-2011-BLG-0649,2011,blg
OGLE-2011-BLG-0651,2011,blg
OGLE-2011-BLG-0650,2011,blg
OGLE-2011-BLG-0652,2011,blg
OGLE-2011-BLG-0653,2011,blg
OGLE-2011-BLG-0654,2011,blg
OGLE-2011-BLG-0656,2011,blg
OGLE-2011-BLG-0657,2011,blg
OGLE-2011-BLG-0658,2011,blg
OGLE-2011-BLG-0659,2011,blg
OGLE-2011-BLG-0660,2011,blg
OGLE-2011-BLG-0661,2011,blg
OGLE-2011-BLG-0662,2011,blg
OGLE-2011-BLG-0663,2011,blg
OGLE-2011-BLG-0664,2011,blg
OGLE-2011-BLG-0665,2011,blg
OGLE-2011-BLG-0666,2011,blg
OGLE-2011-BLG-0667,2011,blg
OGLE-2011-BLG-0668,2011,blg
OGLE-2011-BLG-0669,2011,blg
OGLE-2011-BLG-0671,2011,blg
OGLE-2011-BLG-0672,2011,blg
OGLE-2011-BLG-0673,2011,blg
OGLE-2011-BLG-0674,2011,blg
OGLE-2011-BLG-0676,2011,blg
OGLE-2011-BLG-0675,2011,blg
OGLE-2011-BLG-0677,2011,blg
OGLE-2011-BLG-0678,2011,blg
OGLE-2011-BLG-0679,2011,blg
OGLE-2011-BLG-0680,2011,blg
OGLE-2011-BLG-0681,2011,blg
OGLE-2011-BLG-0684,2011,blg
OGLE-2011-BLG-0683,2011,blg
OGLE-2011-BLG-0685,2011,blg
OGLE-2011-BLG-0686,2011,blg
OGLE-2011-BLG-0687,2011,blg
OGLE-2011-BLG-0688,2011,blg
OGLE-2011-BLG-0689,2011,blg
OGLE-2011-BLG-0692,2011,blg
OGLE-2011-BLG-0693,2011,blg
OGLE-2011-BLG-0690,2011,blg
OGLE-2011-BLG-0691,2011,blg
OGLE-2011-BLG-0695,2011,blg
OGLE-2011-BLG-0696,2011,blg
OGLE-2011-BLG-0694,2011,blg
OGLE-2011-BLG-0697,2011,blg
OGLE-2011-BLG-0698,2011,blg
OGLE-2011-BLG-0699,2011,blg
OGLE-2011-BLG-0700,2011,blg
OGLE-2011-BLG-0702,2011,blg
OGLE-2011-BLG-0703,2011,blg
OGLE-2011-BLG-0701,2011,blg
OGLE-2011-BLG-0704,2011,blg
OGLE-2011-BLG-0708,2011,blg
OGLE-2011-BLG-0709,2011,blg
OGLE-2011-BLG-0707,2011,blg
OGLE-2011-BLG-0710,2011,blg
OGLE-2011-BLG-0714,2011,blg
OGLE-2011-BLG-0715,2011,blg
OGLE-2011-BLG-0716,2011,blg
OGLE-2011-BLG-0711,2011,blg
OGLE-2011-BLG-0712,2011,blg
OGLE-2011-BLG-0717,2011,blg
OGLE-2011-BLG-0713,2011,blg
OGLE-2011-BLG-0719,2011,blg
OGLE-2011-BLG-0718,2011,blg
OGLE-2011-BLG-0720,2011,blg
OGLE-2011-BLG-0722,2011,blg
OGLE-2011-BLG-0724,2011,blg
OGLE-2011-BLG-0725,2011,blg
OGLE-2011-BLG-0728,2011,blg
